Truck ID;Truck size;Hired;Date;Time;Latitude;Longitude;Payload;Route ID;Includes JIT;Loaded time;Free time;Loaded hours;Free hours;City
37;20;false;2023-04-16;10:32;37.6728373;-121.0398897;;44;false;;2:29;;2.48;Modesto
37;20;false;2023-04-16;13:01;36.6563956;-121.6285158;PU8411;44;false;2:37;;2.61;;Salinas
37;20;false;2023-04-16;15:38;37.805813;-121.295187;;44;false;;;;;#Lathrop
37;20;false;2023-04-16;15:38;37.805813;-121.295187;;45;false;;1:49;;1.82;#Lathrop
37;20;false;2023-04-16;17:28;37.0539633;-120.878782;PU7559;45;false;1:49;;1.82;;Los Banos
37;20;false;2023-04-16;19:17;37.805813;-121.295187;;45;false;;;;;#Lathrop
39;40;false;2023-04-16;10:00;37.824687;-122.301563;PU8950;47;true;0:14;;0.23;;#Oakland
39;40;false;2023-04-16;10:14;37.7484349;-122.2075939;;47;false;;0:55;;0.92;Oakland
39;40;false;2023-04-16;11:09;37.3576347;-122.0206675;PU7221;47;false;1:08;;1.14;;Sunnyvale
39;40;false;2023-04-16;12:18;37.824687;-122.301563;;47;false;;;;;#Oakland
40;10;false;2023-04-16;10:00;37.824687;-122.301563;PU7048;48;true;0:47;;0.78;;#Oakland
40;10;false;2023-04-16;10:47;37.7037894;-121.8824192;;48;false;;0:39;;0.66;Dublin
40;10;false;2023-04-16;11:27;37.964233;-121.6963489;PU8888;48;false;0:47;;0.78;;Brentwood
40;10;false;2023-04-16;12:14;37.805813;-121.295187;;48;false;;2:05;;2.09;#Lathrop
40;10;false;2023-04-16;14:20;38.7448165;-121.1709718;PU8002;48;false;2:05;;2.09;;Granite Bay
40;10;false;2023-04-16;16:25;37.805813;-121.295187;;48;false;;0:46;;0.77;#Lathrop
40;10;false;2023-04-16;17:12;37.9563243;-121.6898399;PU7918;48;false;0:46;;0.77;;Brentwood
40;10;false;2023-04-16;17:58;37.805813;-121.295187;;48;false;;1:46;;1.77;#Lathrop
40;10;false;2023-04-16;19:44;37.824687;-122.301563;;48;false;;;;;#Oakland
43;10;false;2023-04-16;10:00;37.824687;-122.301563;PU9698;51;true;0:16;;0.27;;#Oakland
